dmc,anchor,description,red,green,blue,hexValue
B5200,1,Snow White,255,255,255,FFFFFF
Ecru,387,Ecru,240,234,218,F0EADA
White,2,White,252,251,248,FCFBF8
150,59,Dusty Rose Ultra Very Dark,171,2,73,AB0249
151,73,Dusty Rose Very Light,240,206,212,F0CED4
152,969,Shell Pink Med Light,226,160,153,E2A099
153,95,Violet Very Light,230,204,217,E6CCD9
154,873,Grape Very Dark,87,36,51,572433
155,1030,Blue Violet Med Dark,152,145,182,9891B6
156,118,Blue Violet Med Light,163,174,209,A3AED1
157,120,Cornflower Blue Very Light,187,195,217,BBC3D9
158,178,Cornflower Blue Medium Very Dark,76,82,110,4C526E
159,120,Blue Gray Light,199,202,215,C7CAD7
160,175,Blue Gray Medium,153,159,183,999FB7
161,176,Blue Gray,120,128,164,7880A4
162,159,Blue Ultra Very Light,219,236,245,DBECF5
163,877,Celadon Green Medium,77,131,97,4D8361
164,240,Forest Green Light,200,216,184,C8D8B8
165,278,Moss Green Very Light,239,244,164,EFF4A4
166,280,Moss Green Medium Light,192,200,64,C0C840
167,375,Yellow Beige Very Dark,167,124,73,A77C49
168,274,Pewter Very Light,209,209,209,D1D1D1
169,849,Pewter Light,132,132,132,848484
208,110,Lavender Very Dark,131,91,139,835B8B
209,109,Lavender Dark,163,123,167,A37BA7
210,108,Lavender Medium,195,159,195,D29FC3
211,342,Lavender Light,227,203,227,E3CBE3
221,897,Shell Pink Very Dark,136,62,67,883E43
223,895,Shell Pink Light,204,132,124,CC847C
224,893,Shell Pink Very Light,235,183,175,EBB7AF
225,1026,Shell Pink Ultra Very Light,255,223,213,FFDFD7
300,352,Mahogany Very Dark,111,47,0,6F2F00
301,1049,Mahogany Medium,179,95,43,B35F2B
304,1006,Red Medium,183,31,51,B71F33
307,289,Lemon,253,237,84,FDED54
309,42,Rose Dark,86,74,74,BA4A4A
310,403,Black,0,0,0,000000
311,148,Wedgewood Ultra Very Dark,28,80,102,1C5066
312,979,Baby Blue Very Dark,53,102,139,35668B
315,1019,Antique Mauve Medium Dark,129,73,82,814952
316,1017,Antique Mauve Medium,183,115,127,B7737F
